"pli-tv-bu-pm:9.0","Expulsion 1. Sexual Intercourse "
"pli-tv-bu-pm:26.10","pli-tv-bu-vb-ss12:1.35"
"pli-tv-bu-pm:27.0","Suspension 13: Corrupters of Families "
"pli-tv-bu-pm:27.1","pli-tv-bu-vb-ss13:1.8.10.1"
"pli-tv-bu-pm:27.2","pli-tv-bu-vb-ss13:1.8.11"
"pli-tv-bu-pm:27.3","pli-tv-bu-vb-ss13:1.8.12"
"pli-tv-bu-pm:27.4","pli-tv-bu-vb-ss13:1.8.13"
"pli-tv-bu-pm:27.5","pli-tv-bu-vb-ss13:1.8.14"
"pli-tv-bu-pm:27.6","pli-tv-bu-vb-ss13:1.8.15"
"pli-tv-bu-pm:27.7","pli-tv-bu-vb-ss13:1.8.16"
"pli-tv-bu-pm:27.8","pli-tv-bu-vb-ss13:1.8.17"
"pli-tv-bu-pm:27.9","pli-tv-bu-vb-ss13:1.8.18"
"pli-tv-bu-pm:27.10","pli-tv-bu-vb-ss13:1.8.19"
"pli-tv-bu-pm:27.11","pli-tv-bu-vb-ss13:1.8.20"
"pli-tv-bu-pm:28.1","pli-tv-bu-vb-ss13:3.2.7"
"pli-tv-bu-pm:28.2","pli-tv-bu-vb-ss13:3.2.8"
"pli-tv-bu-pm:28.3","pli-tv-bu-vb-ss13:3.2.9"
"pli-tv-bu-pm:28.4","pli-tv-bu-vb-ss13:3.2.10"
"pli-tv-bu-pm:28.5","pli-tv-bu-vb-ss13:3.2.11"
"pli-tv-bu-pm:28.6","pli-tv-bu-vb-ss13:3.2.12"
"pli-tv-bu-pm:28.7","pli-tv-bu-vb-ss13:3.2.13"
"pli-tv-bu-pm:28.8","pli-tv-bu-vb-ss13:3.2.14"
"pli-tv-bu-pm:28.9","pli-tv-bu-vb-ss13:3.2.15"
"pli-tv-bu-pm:28.10","pli-tv-bu-vb-ss13:3.2.26"
"pli-tv-bu-pm:29.0","Recitation of the Undetermined Rules "
"pli-tv-bu-pm:29.1","pli-tv-bu-vb-ay1:0.5"
"pli-tv-bu-pm:30.0","Undetermined 1: First Undetermined Offence "
"pli-tv-bu-pm:30.1","pli-tv-bu-vb-ay1:1.32.1"
"pli-tv-bu-pm:30.2","pli-tv-bu-vb-ay1:1.33"
"pli-tv-bu-pm:30.3","pli-tv-bu-vb-ay1:1.34"
"pli-tv-bu-pm:30.4","pli-tv-bu-vb-ay1:1.35"
"pli-tv-bu-pm:30.5","pli-tv-bu-vb-ay1:1.36"
"pli-tv-bu-pm:31.0","Undetermined 2: Second Undetermined Offence "
"pli-tv-bu-pm:31.1","pli-tv-bu-vb-ay2:1.19.1"
"pli-tv-bu-pm:31.2","pli-tv-bu-vb-ay2:1.20"
"pli-tv-bu-pm:31.3","pli-tv-bu-vb-ay2:1.21"
"pli-tv-bu-pm:31.4","pli-tv-bu-vb-ay2:1.22"
"pli-tv-bu-pm:31.5","pli-tv-bu-vb-ay2:1.23"
"pli-tv-bu-pm:31.6","pli-tv-bu-vb-ay2:1.24"
"pli-tv-bu-pm:32.1","pli-tv-bu-vb-ay2:3.10"
"pli-tv-bu-pm:32.2","pli-tv-bu-vb-ay2:3.11,pli-tv-bu-vb-ay2:3.12"
"pli-tv-bu-pm:32.3","pli-tv-bu-vb-ay2:3.13,pli-tv-bu-vb-ay2:3.14"
"pli-tv-bu-pm:32.4","pli-tv-bu-vb-ay2:3.15,pli-tv-bu-vb-ay2:3.16"
"pli-tv-bu-pm:32.5","pli-tv-bu-vb-ay2:3.17,pli-tv-bu-vb-ay2:3.18,pli-tv-bu-vb-ay2:3.19"
"pli-tv-bu-pm:32.6","pli-tv-bu-vb-ay2:3.25"
"pli-tv-bu-pm:33.0","Recitation of the Rules of Relinquishment With Confession "
"pli-tv-bu-pm:33.1","pli-tv-bu-vb-np1:0.6"
"pli-tv-bu-pm:34.0.2","Relinquishment With Confession 1: The Robe-Making Season "
"pli-tv-bu-pm:34.1","pli-tv-bu-vb-np1:2.17.1"
"pli-tv-bu-pm:35.0","Relinquishment With Confession 2: Staying Apart From Robes "
"pli-tv-bu-pm:35.1","pli-tv-bu-vb-np2:2.39.1"
"pli-tv-bu-pm:36.0","Relinquishment With Confession 3: Out-of-Season Robe Cloth "
"pli-tv-bu-pm:36.1","pli-tv-bu-vb-np3:1.3.13.1"
"pli-tv-bu-pm:36.2","pli-tv-bu-vb-np3:1.3.14"
"pli-tv-bu-pm:36.3","pli-tv-bu-vb-np3:1.3.15"
"pli-tv-bu-pm:36.4","pli-tv-bu-vb-np3:1.3.16"
"pli-tv-bu-pm:37.0","Relinquishment With Confession 4: Used Robes "
"pli-tv-bu-pm:37.1","pli-tv-bu-vb-np4:1.31.1"
"pli-tv-bu-pm:38.0","Relinquishment With Confession 5: Receiving Robe Cloth "
"pli-tv-bu-pm:38.1","pli-tv-bu-vb-np5:2.10.1"
"pli-tv-bu-pm:39.0","Relinquishment With Confession 6: Asking an Unrelated Person for Robes "
"pli-tv-bu-pm:39.1","pli-tv-bu-vb-np6:2.18.1"
"pli-tv-bu-pm:39.2","pli-tv-bu-vb-np6:2.19"
"pli-tv-bu-pm:40.0","Relinquishment With Confession 8: Accepting Too Many Robes "
"pli-tv-bu-pm:40.1","pli-tv-bu-vb-np7:1.31.1"
"pli-tv-bu-pm:41.0","Relinquishment With Confession 8: Requesting Fine Robes From a Robe Fund "
"pli-tv-bu-pm:41.1","pli-tv-bu-vb-np8:1.1.32.1"
"pli-tv-bu-pm:41.2","pli-tv-bu-vb-np8:1.1.33"
"pli-tv-bu-pm:41.3","pli-tv-bu-vb-np8:1.1.34"
"pli-tv-bu-pm:41.4","pli-tv-bu-vb-np8:1.1.35"
"pli-tv-bu-pm:41.5","pli-tv-bu-vb-np8:1.1.36"
"pli-tv-bu-pm:42.0","Relinquishment With Confession 9: Requesting Fine Robes From a Combined Robe Fund "
"pli-tv-bu-pm:42.1","pli-tv-bu-vb-np9:1.36.1"
"pli-tv-bu-pm:42.2","pli-tv-bu-vb-np9:1.37"
"pli-tv-bu-pm:42.3","pli-tv-bu-vb-np9:1.38"
"pli-tv-bu-pm:42.4","pli-tv-bu-vb-np9:1.39"
"pli-tv-bu-pm:42.5","pli-tv-bu-vb-np9:1.40"
"pli-tv-bu-pm:43.0","Relinquishment With Confession 10: Excessive Prompting for Robe Funds "
"pli-tv-bu-pm:43.1","pli-tv-bu-vb-np10:1.3.1"
"pli-tv-bu-pm:43.2","pli-tv-bu-vb-np10:1.3.2"
"pli-tv-bu-pm:43.3","pli-tv-bu-vb-np10:1.3.3"
"pli-tv-bu-pm:43.4","pli-tv-bu-vb-np10:1.3.4"
"pli-tv-bu-pm:43.5","pli-tv-bu-vb-np10:1.3.5"
"pli-tv-bu-pm:43.6","pli-tv-bu-vb-np10:1.3.6"
"pli-tv-bu-pm:43.7","pli-tv-bu-vb-np10:1.3.7"
"pli-tv-bu-pm:43.8","pli-tv-bu-vb-np10:1.3.8"
"pli-tv-bu-pm:43.9","pli-tv-bu-vb-np10:1.3.9"
"pli-tv-bu-pm:43.10","pli-tv-bu-vb-np10:1.3.10"
"pli-tv-bu-pm:43.11","pli-tv-bu-vb-np10:1.3.11"
"pli-tv-bu-pm:43.12","pli-tv-bu-vb-np10:1.3.12"
"pli-tv-bu-pm:43.13","pli-tv-bu-vb-np10:1.3.13"
"pli-tv-bu-pm:43.14","pli-tv-bu-vb-np10:1.3.14"
"pli-tv-bu-pm:43.15","pli-tv-bu-vb-np10:1.3.15"
"pli-tv-bu-pm:43.16","pli-tv-bu-vb-np10:1.3.16"
"pli-tv-bu-pm:43.17","pli-tv-bu-vb-np10:1.3.17"
"pli-tv-bu-pm:43.18","pli-tv-bu-vb-np10:1.3.18"
"pli-tv-bu-pm:43.19","pli-tv-bu-vb-np10:1.3.19"
"pli-tv-bu-pm:43.20","pli-tv-bu-vb-np10:1.3.20"
"pli-tv-bu-pm:43.21","pli-tv-bu-vb-np10:1.3.21"
"pli-tv-bu-pm:43.22","pli-tv-bu-vb-np10:1.3.22"
"pli-tv-bu-pm:43.23","pli-tv-bu-vb-np10:2.4.9"
"pli-tv-bu-pm:44.0.2","Relinquishment With Confession 11: Silk Blanket "
"pli-tv-bu-pm:44.1","pli-tv-bu-vb-np11:1.23.1"
"pli-tv-bu-pm:45.0","Relinquishment With Confession 12: Pure Black Blanket "
"pli-tv-bu-pm:45.1","pli-tv-bu-vb-np12:1.15.1"
"pli-tv-bu-pm:46.0","Relinquishment With Confession 13: A New Blanket Should Have Mixed Colors "
"pli-tv-bu-pm:46.1","pli-tv-bu-vb-np13:1.12.1"
"pli-tv-bu-pm:46.2","pli-tv-bu-vb-np13:1.13"
"pli-tv-bu-pm:47.0","Relinquishment With Confession 14: A New Blanket Should be Kept for Six Years "
"pli-tv-bu-pm:47.1","pli-tv-bu-vb-np14:2.38.1"
"pli-tv-bu-pm:47.2","pli-tv-bu-vb-np14:2.39"
"pli-tv-bu-pm:48.0","Relinquishment With Confession 15: A Sitting-Blanket "
"pli-tv-bu-pm:48.1","pli-tv-bu-vb-np15:1.3.10.1"
"pli-tv-bu-pm:48.2","pli-tv-bu-vb-np15:1.3.11"
"pli-tv-bu-pm:49.0","Relinquishment With Confession 16: Carrying Wool "
"pli-tv-bu-pm:49.1","pli-tv-bu-vb-np16:1.23.1"
"pli-tv-bu-pm:49.2","pli-tv-bu-vb-np16:1.24"
"pli-tv-bu-pm:49.3","pli-tv-bu-vb-np16:1.25"
"pli-tv-bu-pm:50.0","Relinquishment With Confession 17: Getting a Nun to Wash Wool "
"pli-tv-bu-pm:50.1","pli-tv-bu-vb-np17:1.20.1"
"pli-tv-bu-pm:51.0","Relinquishment With Confession 18: Money "
"pli-tv-bu-pm:51.1","pli-tv-bu-vb-np18:1.28.1"
"pli-tv-bu-pm:52.0","Relinquishment With Confession 19: Trading With Money "
"pli-tv-bu-pm:52.1","pli-tv-bu-vb-np19:1.15.1"
"pli-tv-bu-pm:53.0","Relinquishment With Confession 20: Bartering "
"pli-tv-bu-pm:53.1","pli-tv-bu-vb-np20:1.35.1"
"pli-tv-bu-pm:53.2","pli-tv-bu-vb-np20:2.32"
"pli-tv-bu-pm:54.0.2","Relinquishment With Confession 21: An Extra Almsbowl "
"pli-tv-bu-pm:54.1","pli-tv-bu-vb-np21:2.17.1"
"pli-tv-bu-pm:55.0","Relinquishment With Confession 22: An Almsbowl With Fewer Than Five Mends "
"pli-tv-bu-pm:55.1","pli-tv-bu-vb-np22:1.3.17.1"
"pli-tv-bu-pm:55.2","pli-tv-bu-vb-np22:1.3.18"
"pli-tv-bu-pm:55.3","pli-tv-bu-vb-np22:1.3.19"
"pli-tv-bu-pm:55.4","pli-tv-bu-vb-np22:1.3.20"
"pli-tv-bu-pm:56.0","Relinquishment With Confession 23: The Five Tonics "
"pli-tv-bu-pm:56.1","pli-tv-bu-vb-np23:1.3.32.1"
"pli-tv-bu-pm:56.2","pli-tv-bu-vb-np23:1.3.33"
