"pli-tv-bi-pm:9.0","Expulsion 1. Sexual Intercourse "
"pli-tv-bi-pm:112.1","pli-tv-bi-vb-pc43:1.14.1"
"pli-tv-bi-pm:113.0","Confession 44: Serving Householders "
"pli-tv-bi-pm:113.1","pli-tv-bi-vb-pc44:1.11.1"
"pli-tv-bi-pm:114.0","Confession 45: Legal Issues "
"pli-tv-bi-pm:114.1","pli-tv-bi-vb-pc45:1.21.1"
"pli-tv-bi-pm:115.0","Confession 46: Giving Food "
"pli-tv-bi-pm:115.1","pli-tv-bi-vb-pc46:1.15.1"
"pli-tv-bi-pm:116.0","Confession 47: Monastery Robes "
"pli-tv-bi-pm:116.1","pli-tv-bi-vb-pc47:1.12.1"
"pli-tv-bi-pm:117.0","Confession 48: Lodgings "
"pli-tv-bi-pm:117.1","pli-tv-bi-vb-pc48:1.22.1"
"pli-tv-bi-pm:118.0","Confession Learning Pointless Knowledge "
"pli-tv-bi-pm:118.1","pli-tv-bi-vb-pc49:1.14.1"
"pli-tv-bi-pm:119.0","Confession 50: Teaching Pointless Knowledge "
"pli-tv-bi-pm:119.1","pli-tv-bi-vb-pc50:1.14.1"
"pli-tv-bi-pm:119.2","pli-tv-bi-vb-pc50:2.17"
"pli-tv-bi-pm:120.0.2","Confession 51: Entering Monasteries "
"pli-tv-bi-pm:120.1","pli-tv-bi-vb-pc51:3.9.1"
"pli-tv-bi-pm:121.0","Confession 52: Abusing Monks "
"pli-tv-bi-pm:121.1","pli-tv-bi-vb-pc52:1.29.1"
"pli-tv-bi-pm:122.0","Confession 53: Reviling a Group "
"pli-tv-bi-pm:122.1","pli-tv-bi-vb-pc53:1.27.1"
"pli-tv-bi-pm:123.0","Confession 54: Inviting "
"pli-tv-bi-pm:123.1","pli-tv-bi-vb-pc54:1.20.1"
"pli-tv-bi-pm:124.0","Confession 55: Stingy With Families "
"pli-tv-bi-pm:124.1","pli-tv-bi-vb-pc55:1.21.1"
"pli-tv-bi-pm:125.0","Confession 56: Staying Apart from Monks "
"pli-tv-bi-pm:125.1","pli-tv-bi-vb-pc56:1.16.1"
"pli-tv-bi-pm:126.0","Confession 57: Not Inviting "
"pli-tv-bi-pm:126.1","pli-tv-bi-vb-pc57:1.15.1"
"pli-tv-bi-pm:127.0","Confession 58: Instruction "
"pli-tv-bi-pm:127.1","pli-tv-bi-vb-pc58:1.14.1"
"pli-tv-bi-pm:128.0","Confession 59: Going to the Instruction "
"pli-tv-bi-pm:128.1","pli-tv-bi-vb-pc59:1.11.1"
"pli-tv-bi-pm:129.0","Confession 60: Medical Treatment Below the Navel "
"pli-tv-bi-pm:129.1","pli-tv-bi-vb-pc60:1.16.1"
"pli-tv-bi-pm:129.2","pli-tv-bi-vb-pc60:2.2.7"
"pli-tv-bi-pm:130.0.2","Confession 61: Ordaining a Pregnant Woman "
"pli-tv-bi-pm:130.1","pli-tv-bi-vb-pc61:1.17.1"
"pli-tv-bi-pm:131.0","Confession 62: Ordaining a Breastfeeding Woman "
"pli-tv-bi-pm:131.1","pli-tv-bi-vb-pc62:1.17.1"
"pli-tv-bi-pm:132.0","Confession 63: Ordaining Untrained Candidate "
"pli-tv-bi-pm:132.1","pli-tv-bi-vb-pc63:1.41.1"
"pli-tv-bi-pm:133.0","Confession 64: Ordaining Trained Candidate Without Approval "
"pli-tv-bi-pm:133.1","pli-tv-bi-vb-pc64:1.36.1"
"pli-tv-bi-pm:134.0","Confession 65: Ordaining Married Girls Under Twelve "
"pli-tv-bi-pm:134.1","pli-tv-bi-vb-pc65:1.17.1"
"pli-tv-bi-pm:135.0","Confession 66: Ordaining Untrained Married Girls "
"pli-tv-bi-pm:135.1","pli-tv-bi-vb-pc66:1.35.1"
"pli-tv-bi-pm:136.0","Confession 67: Ordaining Trained married Girls Without Approval "
"pli-tv-bi-pm:136.1","pli-tv-bi-vb-pc67:1.36.1"
"pli-tv-bi-pm:137.0","Confession 68: Not Guiding a Disciple After Ordinaition "
"pli-tv-bi-pm:137.1","pli-tv-bi-vb-pc68:1.13.1"
"pli-tv-bi-pm:138.0","Confession 69: Not Following a Mentor "
"pli-tv-bi-pm:138.1","pli-tv-bi-vb-pc69:1.13.1"
"pli-tv-bi-pm:139.0","Confession 70: Not Departing With Disciple "
"pli-tv-bi-pm:139.1","pli-tv-bi-vb-pc70:1.13.1"
"pli-tv-bi-pm:139.2","pli-tv-bi-vb-pc70:2.2.9"
"pli-tv-bi-pm:140.0.2","Confession 71: Ordaining Married Girls Under Twenty "
"pli-tv-bi-pm:140.1","pli-tv-bi-vb-pc71:1.17.1"
"pli-tv-bi-pm:141.0","Confession 72: Ordaining Untrained Unmarried Girls "
"pli-tv-bi-pm:141.1","pli-tv-bi-vb-pc72:1.37.1"
"pli-tv-bi-pm:142.0","Confession 73: Ordaining Trained Unmarried Girls Without Approval "
"pli-tv-bi-pm:142.1","pli-tv-bi-vb-pc73:1.36.1"
"pli-tv-bi-pm:143.0","Confession 74: Under Twelve Years of Seniority "
"pli-tv-bi-pm:143.1","pli-tv-bi-vb-pc74:1.14.1"
"pli-tv-bi-pm:144.0","Confession 75: Twelve Years of Seniority Without Approval "
"pli-tv-bi-pm:144.1","pli-tv-bi-vb-pc75:1.42.1"
"pli-tv-bi-pm:145.0","Confession 76: Criticizing "
"pli-tv-bi-pm:145.1","pli-tv-bi-vb-pc76:1.20.1"
"pli-tv-bi-pm:146.0","Confession 77: Not Ordaining Trainees After Promising "
"pli-tv-bi-pm:146.1","pli-tv-bi-vb-pc77:1.17.1"
"pli-tv-bi-pm:147.0","Confession 78: Not Ordaining Trainees After She Follows "
"pli-tv-bi-pm:147.1","pli-tv-bi-vb-pc78:1.16.1"
"pli-tv-bi-pm:148.0","Confession 79: Temperamental to Live With "
"pli-tv-bi-pm:148.1","pli-tv-bi-vb-pc79:1.11.1"
"pli-tv-bi-pm:149.0","Confession 80: Ordaining Without Permission "
"pli-tv-bi-pm:149.1","pli-tv-bi-vb-pc80:1.14.1"
"pli-tv-bi-pm:150.0","Confession 81: Ordaining After Consent Expires "
"pli-tv-bi-pm:150.1","pli-tv-bi-vb-pc81:1.13.1"
"pli-tv-bi-pm:151.0","Confession 82: Every Year "
"pli-tv-bi-pm:151.1","pli-tv-bi-vb-pc82:1.14.1"
"pli-tv-bi-pm:152.0","Confession 83: One Year "
"pli-tv-bi-pm:152.1","pli-tv-bi-vb-pc83:1.16.1"
"pli-tv-bi-pm:152.2","pli-tv-bi-vb-pc83:2.2.6"
"pli-tv-bi-pm:153.0.2","Confession 84: Sunshades and Sandals "
"pli-tv-bi-pm:153.1","pli-tv-bi-vb-pc84:1.2.6.1"
"pli-tv-bi-pm:154.0","Confession 85: Vehicle "
"pli-tv-bi-pm:154.1","pli-tv-bi-vb-pc85:1.2.5.1"
"pli-tv-bi-pm:155.0","Confession 86: Hip Ornaments "
"pli-tv-bi-pm:155.1","pli-tv-bi-vb-pc86:1.19.1"
"pli-tv-bi-pm:156.0","Confession 87: Jewllery "
"pli-tv-bi-pm:156.1","pli-tv-bi-vb-pc87:1.14.1"
"pli-tv-bi-pm:157.0","Confession 88: Scents and Colors "
"pli-tv-bi-pm:157.1","pli-tv-bi-vb-pc88:1.14.1"
"pli-tv-bi-pm:158.0","Confession 89: What is Scented "
"pli-tv-bi-pm:158.1","pli-tv-bi-vb-pc89:1.14.1"
"pli-tv-bi-pm:159.0","Confession 90: Getting Nuns to Massage "
"pli-tv-bi-pm:159.1","pli-tv-bi-vb-pc90:1.14.1"
"pli-tv-bi-pm:160.0","Confession 91: Getting Trainees  to Massage "
"pli-tv-bi-pm:160.1","pli-tv-bi-vb-pc93:1.13.1"
"pli-tv-bi-pm:161.0","Confession 92: Getting Novices to Massage "
"pli-tv-bi-pm:161.1","pli-tv-bi-vb-pc93:1.13.1"
"pli-tv-bi-pm:162.0","Confession 93: Getting Laywomen to Massage "
"pli-tv-bi-pm:162.1","pli-tv-bi-vb-pc93:1.13.1"
"pli-tv-bi-pm:163.0","Confession 94: Not Asking Permission "
"pli-tv-bi-pm:163.1","pli-tv-bi-vb-pc94:1.11.1"
"pli-tv-bi-pm:164.0","Confession 96: Asking Questions "
"pli-tv-bi-pm:164.1","pli-tv-bi-vb-pc95:1.11.1"
"pli-tv-bi-pm:165.0","Confession 96: Chest Wraps "
"pli-tv-bi-pm:165.1","pli-tv-bi-vb-pc96:1.16.1"
"pli-tv-bi-pm:165.2","pli-tv-bi-vb-pc96:2.2.11"
"pli-tv-bi-pm:166.0.2","Confession 97: Lying "
"pli-tv-bi-pm:166.1","pli-tv-bu-vb-pc1:1.20.1"
"pli-tv-bi-pm:167.0","Confession 98: Abusive Speech "
"pli-tv-bi-pm:167.1","pli-tv-bu-vb-pc2:1.2.33.1"
"pli-tv-bi-pm:168.0","Confession 99: Malicious Talebearing "
"pli-tv-bi-pm:168.1","pli-tv-bu-vb-pc3:1.20.1"
"pli-tv-bi-pm:169.0","Confession 100: Memorizing the Teaching "
"pli-tv-bi-pm:169.1","pli-tv-bu-vb-pc4:1.16.1"
"pli-tv-bi-pm:170.0","Confession 101: Lying Down With One Not Fully Ordained "
"pli-tv-bi-pm:170.1","pli-tv-bu-vb-pc5:2.16.1"
"pli-tv-bi-pm:171.0","Confession 102: Lying Down With a Man "
"pli-tv-bi-pm:171.1","pli-tv-bu-vb-pc6:1.51.1"
"pli-tv-bi-pm:172.0","Confession 103: Teaching Someone of the Opposite Gender Alone "
"pli-tv-bi-pm:172.1","pli-tv-bu-vb-pc7:3.11.1"
"pli-tv-bi-pm:173.0","Confession 104: Truthfully Announcing Superhuman Attainments "
"pli-tv-bi-pm:173.1","pli-tv-bu-vb-pc8:1.2.26.1"
"pli-tv-bi-pm:174.0","Confession 105: Announcing a Grave Offense "
"pli-tv-bi-pm:174.1","pli-tv-bu-vb-pc9:1.20.1"
"pli-tv-bi-pm:175.0","Confession 106: THIS IS SO NOT IT"
"pli-tv-bi-pm:175.1","pli-tv-bu-vb-pc10:1.16.1"
"pli-tv-bi-pm:175.2","pli-tv-bu-vb-pc10:2.3.9"
"pli-tv-bi-pm:176.0.2","Confession 107:Damaging Plants "
"pli-tv-bi-pm:176.1","pli-tv-bu-vb-pc11:1.29.1"
"pli-tv-bi-pm:177.0","Confession 108: Evasive Speech "
"pli-tv-bi-pm:177.1","pli-tv-bu-vb-pc12:2.28.1"
"pli-tv-bi-pm:178.0","Confession 109: Complaining "
"pli-tv-bi-pm:178.1","pli-tv-bu-vb-pc13:2.12.1"
"pli-tv-bi-pm:179.0","Confession 110: Leaving Furniture Outside "
"pli-tv-bi-pm:179.1","pli-tv-bu-vb-pc14:1.1.9.1"
"pli-tv-bi-pm:180.0","Confession 111: Leaving Bedding Outside "
"pli-tv-bi-pm:180.1","pli-tv-bu-vb-pc15:1.15.1"
"pli-tv-bi-pm:181.0","Confession 112: Encroaching on a Monastic "
"pli-tv-bi-pm:181.1","pli-tv-bu-vb-pc16:1.16.1"
"pli-tv-bi-pm:182.0","Confession 113: Throwing Out a Monastic "
"pli-tv-bi-pm:182.1","pli-tv-bu-vb-pc17:1.31.1"
"pli-tv-bi-pm:183.0","Confession 114: The Upper Story of a Hut "
"pli-tv-bi-pm:183.1","pli-tv-bu-vb-pc18:1.18.1"
"pli-tv-bi-pm:184.0","Confession 115: Applying Materials to a Large Dwelling "
"pli-tv-bi-pm:184.1, pli-tv-bi-pm:184.2","pli-tv-bu-vb-pc19:1.18.1"
"pli-tv-bi-pm:185.0","Confession 116: Using Water With Living Creatures "
"pli-tv-bi-pm:185.1","pli-tv-bu-vb-pc20:1.12.1"
"pli-tv-bi-pm:185.2","pli-tv-bu-vb-pc20:2.3.8"
"pli-tv-bi-pm:186.0.2","Confession 117: Eating at a Public Guest-House "
"pli-tv-bi-pm:186.1, pli-tv-bi-pm:186.2","pli-tv-bu-vb-pc31:2.14.1"
"pli-tv-bi-pm:187.0","Confession 118: Eating in a Group "
"pli-tv-bi-pm:187.1","pli-tv-bu-vb-pc32:8.15.1"
"pli-tv-bi-pm:187.2","pli-tv-bu-vb-pc32:8.16"
"pli-tv-bi-pm:188.0","Confession 119: Accepting Two or Three Bowls Full "
"pli-tv-bi-pm:188.1, pli-tv-bi-pm:188.2","pli-tv-bu-vb-pc34:1.2.21.1"
"pli-tv-bi-pm:188.3","pli-tv-bu-vb-pc34:1.2.22"
"pli-tv-bi-pm:189.0","Confession  120: Eating at the Wrong Time "
"pli-tv-bi-pm:189.1","pli-tv-bu-vb-pc37:1.22.1"
"pli-tv-bi-pm:190.0","Confession 121: Storing Food "
"pli-tv-bi-pm:190.1","pli-tv-bu-vb-pc38:1.18.1"
"pli-tv-bi-pm:191.0","Confession 122: Eating Unoffered Food "
"pli-tv-bi-pm:191.1","pli-tv-bu-vb-pc40:2.5.1"
"pli-tv-bi-pm:192.0","Confession 123: Sending a Monastic Back from Almsround "
"pli-tv-bi-pm:192.1","pli-tv-bu-vb-pc42:1.16.1"
"pli-tv-bi-pm:193.0","Confession 124: Intruding on a Couple Enjoying Themselves "
"pli-tv-bi-pm:193.1","pli-tv-bu-vb-pc43:1.23.1"
"pli-tv-bi-pm:194.0","Confession 125: Sitting in a Concealed Place "
"pli-tv-bi-pm:194.1","pli-tv-bu-vb-pc44:1.14.1"
"pli-tv-bi-pm:195.0","Confession 126: Sitting in Private "
"pli-tv-bi-pm:195.1","pli-tv-bu-vb-pc45:1.14.1"
"pli-tv-bi-pm:195.2","pli-tv-bu-vb-pc40:3.3.7"
"pli-tv-bi-pm:196.0.2","Confession 127: Visiting Families Before a Meal "
"pli-tv-bi-pm:196.1","pli-tv-bu-vb-pc46:5.6.1"
"pli-tv-bi-pm:196.2","pli-tv-bu-vb-pc46:5.7"
"pli-tv-bi-pm:197.0","Confession 128: An Invitation for Four Months "
"pli-tv-bi-pm:197.1","pli-tv-bu-vb-pc47:1.4.27.1"
"pli-tv-bi-pm:198.0","Confession 129: Seeing a Mobilizing Army "
"pli-tv-bi-pm:198.1","pli-tv-bu-vb-pc48:2.13.1"
"pli-tv-bi-pm:199.0","Confession 130: Staying with an Army "
"pli-tv-bi-pm:199.1","pli-tv-bu-vb-pc49:1.15.1"
"pli-tv-bi-pm:200.0","Confession 131. Viewing a Military Action "
"pli-tv-bi-pm:200.1","pli-tv-bu-vb-pc50:1.19.1"
"pli-tv-bi-pm:201.0","Confession 132: Drinking Alcohol "
"pli-tv-bi-pm:201.1","pli-tv-bu-vb-pc51:1.46.1"
"pli-tv-bi-pm:202.0","Confession 133: Tickling "
"pli-tv-bi-pm:202.1","pli-tv-bu-vb-pc52:1.12.1"
"pli-tv-bi-pm:203.0","Confession 134: Playing "
"pli-tv-bi-pm:203.1","pli-tv-bu-vb-pc53:1.22.1"
"pli-tv-bi-pm:204.0","Confession 135: Disrespect "
"pli-tv-bi-pm:204.1","pli-tv-bu-vb-pc54:1.15.1"
"pli-tv-bi-pm:205.0","Confession 136: Scaring "
"pli-tv-bi-pm:205.1","pli-tv-bu-vb-pc55:1.15.1"
"pli-tv-bi-pm:205.2","The thirteenth sub-chapter on visiting is finished. "
"pli-tv-bi-pm:206.0.2","Confession 137: Lighting a Fire "
"pli-tv-bi-pm:206.1","pli-tv-bu-vb-pc56:2.5.1"
"pli-tv-bi-pm:207.0","Confession 138: Bathing "
"pli-tv-bi-pm:207.1","pli-tv-bu-vb-pc57:6.7.1"
"pli-tv-bi-pm:207.2","pli-tv-bu-vb-pc57:6.8"
"pli-tv-bi-pm:208.0","Confession 139: Making Stains "
"pli-tv-bi-pm:208.1","pli-tv-bu-vb-pc58:1.15.1"
"pli-tv-bi-pm:209.0","Confession 140: Transferring to Another "
"pli-tv-bi-pm:209.1","pli-tv-bu-vb-pc59:1.13.1"
"pli-tv-bi-pm:210.0","Confession 141: Hiding Robes "
"pli-tv-bi-pm:210.1","pli-tv-bu-vb-pc60:1.18.1"
"pli-tv-bi-pm:211.0","Confession 142: Intentionally Killing Living Creatures "
"pli-tv-bi-pm:211.1","pli-tv-bu-vb-pc61:1.16.1"
"pli-tv-bi-pm:212.0","Confession 143: Using Water With Living Creatures "
"pli-tv-bi-pm:212.1","pli-tv-bu-vb-pc62:1.11.1"
"pli-tv-bi-pm:213.0","Confession 144: Reopening a Legal Issue "
"pli-tv-bi-pm:213.1","pli-tv-bu-vb-pc63:1.12.1"
"pli-tv-bi-pm:214.0","Confession 145: Travelling With Thieves "
"pli-tv-bi-pm:214.1","pli-tv-bu-vb-pc66:1.22.1"
"pli-tv-bi-pm:215.0","Confession 146: Obstructions "
"pli-tv-bi-pm:215.1","pli-tv-bu-vb-pc68:1.49.1"
"pli-tv-bi-pm:215.2","pli-tv-bu-vb-pc68:1.50"
"pli-tv-bi-pm:215.3","pli-tv-bu-vb-pc68:1.51"
"pli-tv-bi-pm:215.4","pli-tv-bu-vb-pc68:1.52"
"pli-tv-bi-pm:215.5","pli-tv-bu-vb-pc68:1.53"
"pli-tv-bi-pm:215.6","pli-tv-bu-vb-pc68:1.54"
"pli-tv-bi-pm:215.7","pli-tv-bu-vb-pc68:1.55"
"pli-tv-bi-pm:215.8","pli-tv-bu-vb-pc68:1.56"
"pli-tv-bi-pm:215.9","The fourteenth sub-chapter on fire is finished. "
"pli-tv-bi-pm:216.0.2","Confession 147: Living With an Ejected Monastic "
"pli-tv-bi-pm:216.1","pli-tv-bu-vb-pc69:1.11.1"
"pli-tv-bi-pm:217.0","Confession 148: Obstructions and a Novice "
"pli-tv-bi-pm:217.1","pli-tv-bu-vb-pc70:1.46.1"
"pli-tv-bi-pm:217.2","pli-tv-bu-vb-pc70:1.47"
"pli-tv-bi-pm:217.3","pli-tv-bu-vb-pc70:1.48"
"pli-tv-bi-pm:217.4","pli-tv-bu-vb-pc70:1.49"
"pli-tv-bi-pm:217.5","pli-tv-bu-vb-pc70:1.50"
"pli-tv-bi-pm:217.6","pli-tv-bu-vb-pc70:1.51"
"pli-tv-bi-pm:217.7","pli-tv-bu-vb-pc70:1.52"
"pli-tv-bi-pm:217.8","pli-tv-bu-vb-pc70:1.53"
"pli-tv-bi-pm:217.9","pli-tv-bu-vb-pc70:1.54"
"pli-tv-bi-pm:217.10","pli-tv-bu-vb-pc70:1.55"
"pli-tv-bi-pm:218.0","Confession 149: Legitimate Correction "
"pli-tv-bi-pm:218.1","pli-tv-bu-vb-pc71:1.19.1"
"pli-tv-bi-pm:218.2","pli-tv-bu-vb-pc71:1.20"
"pli-tv-bi-pm:219.0","Confession 150: Annoyance "
"pli-tv-bi-pm:219.1","pli-tv-bu-vb-pc72:1.20.1"
"pli-tv-bi-pm:220.0","Confession 151: Deception "
"pli-tv-bi-pm:220.1","pli-tv-bu-vb-pc73:1.15.1"
"pli-tv-bi-pm:220.2","pli-tv-bu-vb-pc73:1.16"
"pli-tv-bi-pm:220.3","pli-tv-bu-vb-pc73:1.17"
"pli-tv-bi-pm:220.4","pli-tv-bu-vb-pc73:1.18"
"pli-tv-bi-pm:220.5","pli-tv-bu-vb-pc73:1.19"
"pli-tv-bi-pm:221.0","Confession 152: Hitting "
"pli-tv-bi-pm:221.1","pli-tv-bu-vb-pc74:1.15.1"
"pli-tv-bi-pm:222.0","Confession 153: Raising a Hand "
"pli-tv-bi-pm:222.1","pli-tv-bu-vb-pc75:1.15.1"
"pli-tv-bi-pm:223.0","Confession 154: Groundless Accusation "
"pli-tv-bi-pm:223.1","pli-tv-bu-vb-pc76:1.11.1"
"pli-tv-bi-pm:224.0","Confession 155: Intentionally Making a Monastic Anxious "
"pli-tv-bi-pm:224.1","pli-tv-bu-vb-pc77:1.19.1"
"pli-tv-bi-pm:225.0","Confession 156: Eavesdropping "
"pli-tv-bi-pm:225.1","pli-tv-bu-vb-pc78:1.18.1"
"pli-tv-bi-pm:225.2","The fifteenth sub-chapter on one who has been ejected is finished. "
"pli-tv-bi-pm:226.0.2","Confession 157: Obstructing a Legal Procedure "
"pli-tv-bi-pm:226.1","pli-tv-bu-vb-pc79:1.22.1"
"pli-tv-bi-pm:227.0","Confession 158: Leaving Without Giving Consent "
"pli-tv-bi-pm:227.1","pli-tv-bu-vb-pc80:1.15.1"
"pli-tv-bi-pm:228.0","Confession 159: criticizing a robe distribution"
"pli-tv-bi-pm:228.1","pli-tv-bu-vb-pc81:1.16.1"
"pli-tv-bi-pm:229.0","Confession 160: Diverting Gains "
"pli-tv-bi-pm:229.1","pli-tv-bu-vb-pc82:1.26.1"
"pli-tv-bi-pm:230.0","Confession 161: Precious Things "
"pli-tv-bi-pm:230.1","pli-tv-bu-vb-pc84:3.17.1"
"pli-tv-bi-pm:230.2","pli-tv-bu-vb-pc84:3.18"
"pli-tv-bi-pm:231.0","Confession 162: Needle Case "
"pli-tv-bi-pm:231.1","pli-tv-bu-vb-pc86:1.20.1"
"pli-tv-bi-pm:232.0","Confession 163: Beds and Benches "
"pli-tv-bi-pm:232.1","pli-tv-bu-vb-pc87:1.11.1"
"pli-tv-bi-pm:233.0","Confession 164: Upholstery "
"pli-tv-bi-pm:233.1","pli-tv-bu-vb-pc88:1.14.1"
"pli-tv-bi-pm:234.0","Confession 165: Itch Bandage "
"pli-tv-bi-pm:234.1","pli-tv-bu-vb-pc90:1.14.1"
"pli-tv-bi-pm:235.0","Confession 166: Robe Size "
"pli-tv-bi-pm:235.1","pli-tv-bu-vb-pc92:1.15.1"
"pli-tv-bi-pm:235.2","pli-tv-bu-vb-pc92:1.16"
"pli-tv-bi-pm:235.3","The sixteenth sub-chapter on obstructing a legal procedure is finished "
"pli-tv-bi-pm:236.1","pli-tv-bi-vb-pc96:2.2.14"
"pli-tv-bi-pm:236.2","pli-tv-bi-vb-pc96:2.2.15, pli-tv-bi-vb-pc96:2.2.16"
"pli-tv-bi-pm:236.3","pli-tv-bi-vb-pc96:2.2.17, pli-tv-bi-vb-pc96:2.2.18"
"pli-tv-bi-pm:236.4","pli-tv-bi-vb-pc96:2.2.19, pli-tv-bi-vb-pc96:2.2.20"
"pli-tv-bi-pm:236.5","pli-tv-bi-vb-pc96:2.2.21"
"pli-tv-bi-pm:236.6","pli-tv-bi-vb-pc96:2.2.23"
"pli-tv-bi-pm:237.0","Recitation of the Rules of Acknowledgement "
"pli-tv-bi-pm:237.1","pli-tv-bi-vb-pd1:0.5"
"pli-tv-bi-pm:238.0","Acknowledgement 1: Asking for Ghee "
"pli-tv-bi-pm:238.1","pli-tv-bi-vb-pd1:1.2.9.1"
"pli-tv-bi-pm:238.2","pli-tv-bi-vb-pd1:1.2.10"
"pli-tv-bi-pm:239.0","Acknowledgement 1: Asking for Oil "
"pli-tv-bi-pm:239.1","pli-tv-bi-vb-pd2:1.2.9.1, pli-tv-bi-vb-pd8:1.1.1"
"pli-tv-bi-pm:239.2","pli-tv-bi-vb-pd8:1.1.2"
"pli-tv-bi-pm:240.0","Acknowledgement 1: Asking for Honey "
"pli-tv-bi-pm:240.1","pli-tv-bi-vb-pd3:1.1.1"
"pli-tv-bi-pm:240.2","pli-tv-bi-pm:239.2"
"pli-tv-bi-pm:241.0","Acknowledgement 1: Asking for Syrup "
"pli-tv-bi-pm:241.1","pli-tv-bi-vb-pd4:1.1.1"
"pli-tv-bi-pm:241.2","pli-tv-bi-pm:239.2"
"pli-tv-bi-pm:242.0","Acknowledgement 1: Asking for Fish "
"pli-tv-bi-pm:242.1","pli-tv-bi-vb-pd5:1.1.1"
"pli-tv-bi-pm:242.2","pli-tv-bi-pm:239.2"
"pli-tv-bi-pm:243.0","Acknowledgement 1: Asking for Meat "
"pli-tv-bi-pm:243.1","pli-tv-bi-vb-pd6:1.1.1"
"pli-tv-bi-pm:243.2","pli-tv-bi-pm:239.2"
"pli-tv-bi-pm:244.0","Acknowledgement 1: Asking for Milk "
"pli-tv-bi-pm:244.1","pli-tv-bi-vb-pd7:1.1.1"
"pli-tv-bi-pm:244.2","pli-tv-bi-pm:239.2"
"pli-tv-bi-pm:245.0","Acknowledgement 1: Asking for Curd "
"pli-tv-bi-pm:245.1","pli-tv-bi-vb-pd8:1.1.1"
"pli-tv-bi-pm:245.2","pli-tv-bi-vb-pd8:1.1.2"
"pli-tv-bi-pm:246.1","pli-tv-bi-vb-pd8:2.3.12"
"pli-tv-bi-pm:246.2","pli-tv-bi-vb-pd8:2.3.13, pli-tv-bi-vb-pd8:2.3.14"
"pli-tv-bi-pm:246.3","pli-tv-bi-vb-pd8:2.3.15, pli-tv-bi-vb-pd8:2.3.16"
"pli-tv-bi-pm:246.4","pli-tv-bi-vb-pd8:2.3.17, pli-tv-bi-vb-pd8:2.3.18"
"pli-tv-bi-pm:246.5","pli-tv-bi-vb-pd8:2.3.19"
"pli-tv-bi-pm:246.6","pli-tv-bi-vb-pd8:2.3.20"
"pli-tv-bi-pm:247.0","Recitation of the Rules of Training "
"pli-tv-bi-pm:247.1","pli-tv-bu-vb-sk1:0.6"
"pli-tv-bi-pm:248.0.2","Training 1: Evenly All Around "
"pli-tv-bi-pm:248.1","pli-tv-bu-vb-sk1:1.16.1"
"pli-tv-bi-pm:249.0","Training 2 "
"pli-tv-bi-pm:249.1","pli-tv-bu-vb-sk2:1.3.1"
"pli-tv-bi-pm:250.0","Training 3: Well-Covered "
"pli-tv-bi-pm:250.1","pli-tv-bu-vb-sk3:1.3.1"
"pli-tv-bi-pm:251.0","Training 4 "
"pli-tv-bi-pm:251.1","pli-tv-bu-vb-sk4:1.3.1"
"pli-tv-bi-pm:252.0","Training 5: Well-Restrained "
"pli-tv-bi-pm:252.1","pli-tv-bu-vb-sk5:1.3.1"
"pli-tv-bi-pm:253.0","Training 6: Well-Restrained (2nd) "
"pli-tv-bi-pm:253.1","pli-tv-bu-vb-sk6:1.3.1"
"pli-tv-bi-pm:254.0","Training 7: Lowered Eyes "
"pli-tv-bi-pm:254.1","pli-tv-bu-vb-sk7:1.3.1"
"pli-tv-bi-pm:255.0",
"pli-tv-bi-pm:255.1","pli-tv-bu-vb-sk8:1.3.1"
"pli-tv-bi-pm:256.0","Training 9: Lifted Robe "
"pli-tv-bi-pm:256.1","pli-tv-bu-vb-sk9:1.3.1"
"pli-tv-bi-pm:257.0","Training 10 "
"pli-tv-bi-pm:257.1","pli-tv-bu-vb-sk10:1.3.1"
"pli-tv-bi-pm:257.2","pli-tv-bu-vb-sk10:1.16"
"pli-tv-bi-pm:258.0.2","Training Training 11: Laughing Loudly "
"pli-tv-bi-pm:258.1","pli-tv-bu-vb-sk11:1.3.1"
"pli-tv-bi-pm:259.0","Training 12 "
"pli-tv-bi-pm:259.1","pli-tv-bu-vb-sk12:1.3.1"
"pli-tv-bi-pm:260.0","Training 13: Not Noisy "
"pli-tv-bi-pm:260.1","pli-tv-bu-vb-sk13:1.3.1"
"pli-tv-bi-pm:261.0","Training 14 "
"pli-tv-bi-pm:261.1","pli-tv-bu-vb-sk14:1.3.1"
"pli-tv-bi-pm:262.0","Training 15: Swaying "
"pli-tv-bi-pm:262.1","pli-tv-bu-vb-sk15:1.3.1"
"pli-tv-bi-pm:263.0","Training 16 "
"pli-tv-bi-pm:263.1","pli-tv-bu-vb-sk16:1.3.1"
"pli-tv-bi-pm:264.0","Training 17: Swinging the Arms "
"pli-tv-bi-pm:264.1","pli-tv-bu-vb-sk17:1.3.1"
"pli-tv-bi-pm:265.0","Training 18 "
"pli-tv-bi-pm:265.1","pli-tv-bu-vb-sk18:1.3.1"
"pli-tv-bi-pm:266.0","Training 19: Swaying the Head "
"pli-tv-bi-pm:266.1","pli-tv-bu-vb-sk19:1.3.1"
"pli-tv-bi-pm:267.0","Training 20. "
"pli-tv-bi-pm:267.1","pli-tv-bu-vb-sk20:1.3.1"
"pli-tv-bi-pm:267.2","pli-tv-bu-vb-sk20:1.17"
"pli-tv-bi-pm:268.0.2","Training  21: Arms Akimbo "
